id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
nikotinove-sacky-mentol-0,VELO CRISPY PEPPERMINT ZERO  0% nikotinu,Nikotinové sáčky,Mentol,0,,139,,True,https://www.nordiction.cz/nikotinove-sacky/velo-crispy-peppermint-zero/,22/03/2025
dope---nikotinove-sacky-mentol-16,DOPE ICE COOL XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mentol,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-cool-xtra-strong/,22/03/2025
dope---nikotinove-sacky-limetka-16,DOPE LIME SMASH STRONG  16 mg/g,DOPE - Nikotinové sáčky,Limetka,16,,110,,True,https://www.nordiction.cz/dope/dope-lime-smash-strong-edition/,22/03/2025
nikotinove-sacky-maracuja-0,VELO TROPIC BREEZE ZERO  0% nikotinu,Nikotinové sáčky,Maracuja,0,,139,,True,https://www.nordiction.cz/nikotinove-sacky/velo-tropic-breeze-zero/,22/03/2025
velo---nikotinove-sacky-mentol-15,"VELO FREEZING PEPPERMINT (Freeze)  15,6 mg/g",VELO - Nikotinové sáčky,Mentol,15,,150,,True,https://www.nordiction.cz/velo/velo-freezing-peppermint/,22/03/2025
white-fox---nikotinove-sacky-mentol-16,WHITE FOX  16 mg/g,WHITE FOX - Nikotinové sáčky,Mentol,16,,150,,True,https://www.nordiction.cz/white-fox-nikotinove-sacky/white-fox-nicopods/,22/03/2025
dope---nikotinove-sacky-mango-16,DOPE ICE MANGO XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mango,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-mango-xtra-strong/,22/03/2025
dope---nikotinove-sacky-meloun-16,DOPE MELON STRONG EDITION  16 mg/g,DOPE - Nikotinové sáčky,Meloun,16,,110,,True,https://www.nordiction.cz/dope/dope-melon-strong-edition/,22/03/2025
zyn---nikotinove-sacky-mentol-13,"ZYN COOL MINT STRONG  13,5 mg/g",ZYN - Nikotinové sáčky,Mentol,13,,150,,True,https://www.nordiction.cz/zyn/zyn-cool-mint-strong/,22/03/2025
goat---nikotinove-sacky-mentol-16,"GOAT CRYSTAL ICE #16  16,4 mg/g",GOAT - Nikotinové sáčky,Mentol,16,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-crystal-ice--16/,22/03/2025
goat---nikotinove-sacky-neutralni-12,GOAT FROSTED #12  12 mg/g,GOAT - Nikotinové sáčky,Neutrální,12,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-frosted--12/,22/03/2025
goat---nikotinove-sacky-neutralni-16,"GOAT FROSTED #16  16,4 mg/g",GOAT - Nikotinové sáčky,Neutrální,16,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-frosted--16/,22/03/2025
goat---nikotinove-sacky-tropicke-ovoce-12,GOAT TROPICAL #12  12 mg/g,GOAT - Nikotinové sáčky,Tropické ovoce,12,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-tropical--12/,22/03/2025
goat---nikotinove-sacky-tresen-12,GOAT WILD CHERRY #12  12 mg/g,GOAT - Nikotinové sáčky,Třešeň,12,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-wild-cherry--12/,22/03/2025
goat---nikotinove-sacky-tresen-16,"GOAT WILD CHERRY #16  16,4 mg/g",GOAT - Nikotinové sáčky,Třešeň,16,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-wild-cherry--16/,22/03/2025
killa---nikotinove-sacky-boruvka-16,"KILLA BLUEBERRY  16,5 mg/g",KILLA - Nikotinové sáčky,Borůvka,16,,129,,True,https://www.nordiction.cz/killa/killa-blueberry/,22/03/2025
killa---nikotinove-sacky-cola-16,"KILLA COLA  16,5 mg/g",KILLA - Nikotinové sáčky,Cola,16,,129,,True,https://www.nordiction.cz/killa/killa-cola-extreme/,22/03/2025
killa---nikotinove-sacky-mentol-16,"KILLA COLD MINT  16,5 mg/g",KILLA - Nikotinové sáčky,Mentol,16,,104,,True,https://www.nordiction.cz/killa/killa-cold-mint-extreme/,22/03/2025
killa---nikotinove-sacky-mentol-16,KILLA COLD MINT MINI  16 mg/g,KILLA - Nikotinové sáčky,Mentol,16,,129,,True,https://www.nordiction.cz/killa/killa-cold-mint-mini/,22/03/2025
killa---nikotinove-sacky-boruvka-16,KILLA MANGO ICE MINI  16 mg/g,KILLA - Nikotinové sáčky,Borůvka,16,,129,,True,https://www.nordiction.cz/killa/killa-mango-ice-mini/,22/03/2025
